ID,PoseLabel
00018.jpg,0_1_77
00020.jpg,1_5_72
00021.jpg,1_5_30
00028.jpg,0_3_73
00030.jpg,4_14_10
00033.jpg,0_0_68
00041.jpg,0_2_21
00043.jpg,1_8_47
00049.jpg,4_13_25
00054.jpg,1_4_3
00065.jpg,5_17_71
00080.jpg,1_4_28
00085.jpg,4_14_38
00088.jpg,0_2_21
00114.jpg,1_8_47
00137.jpg,5_19_2
00146.jpg,4_13_66
00151.jpg,2_10_55
00159.jpg,4_14_9
00170.jpg,3_12_45
00173.jpg,0_0_68
00176.jpg,4_16_26
00182.jpg,0_2_22
00210.jpg,1_5_72
00218.jpg,0_2_21
00221.jpg,5_19_2
00226.jpg,4_14_10
00228.jpg,4_14_27
00230.jpg,1_7_52
00232.jpg,4_14_10
00241.jpg,1_5_72
00254.jpg,4_13_12
00258.jpg,4_13_12
00259.jpg,0_2_22
00266.jpg,4_13_66
00267.jpg,0_1_60
00277.jpg,4_14_10
00282.jpg,5_18_7
00300.jpg,3_12_45
00301.jpg,1_6_58
00302.jpg,2_10_55
00322.jpg,4_13_48
00333.jpg,0_1_17
00338.jpg,1_4_28
00347.jpg,0_2_22
00362.jpg,0_3_74
00363.jpg,2_10_55
00368.jpg,1_5_30
00374.jpg,3_12_45
00376.jpg,0_0_68
00377.jpg,5_17_78
00387.jpg,0_0_18
00391.jpg,4_14_38
00398.jpg,5_17_6
00406.jpg,3_12_45
00410.jpg,3_11_63
00416.jpg,5_17_6
00428.jpg,3_11_32
00430.jpg,0_1_60
00433.jpg,5_19_2
00450.jpg,2_10_19
00451.jpg,4_13_66
00460.jpg,1_6_58
00468.jpg,2_9_11
00489.jpg,5_17_69
00491.jpg,5_17_69
00499.jpg,0_1_60
00501.jpg,0_2_31
00502.jpg,1_5_13
00510.jpg,0_3_62
00518.jpg,4_14_10
00520.jpg,5_19_4
00536.jpg,5_19_2
00551.jpg,1_8_35
00564.jpg,4_14_20
00568.jpg,0_1_16
00574.jpg,0_1_17
00588.jpg,1_5_30
00594.jpg,0_3_73
00595.jpg,1_4_3
00598.jpg,4_15_56
00599.jpg,1_4_57
00602.jpg,1_8_0
00603.jpg,4_13_25
00606.jpg,4_15_56
00607.jpg,0_2_40
00612.jpg,0_1_77
00618.jpg,4_16_26
00620.jpg,1_7_67
00622.jpg,2_10_19
00629.jpg,1_7_52
00630.jpg,5_18_7
00639.jpg,1_5_13
00640.jpg,1_6_58
00645.jpg,5_17_71
00657.jpg,3_11_64
00668.jpg,0_0_8
00677.jpg,2_10_19
00679.jpg,5_17_69
00682.jpg,3_11_63
00683.jpg,0_3_39
00684.jpg,1_6_58
00685.jpg,0_0_68
00693.jpg,0_1_77
00695.jpg,3_11_63
00707.jpg,5_17_43
00713.jpg,5_17_5
00714.jpg,0_2_40
00731.jpg,2_9_24
00734.jpg,0_0_8
00737.jpg,3_11_23
00741.jpg,4_14_27
00748.jpg,0_2_22
00752.jpg,0_2_40
00753.jpg,3_12_51
00759.jpg,4_14_10
00784.jpg,1_4_57
00788.jpg,1_7_52
00792.jpg,1_4_57
00793.jpg,0_0_68
00794.jpg,3_11_32
00823.jpg,1_5_30
00831.jpg,4_14_38
00838.jpg,4_14_10
00841.jpg,0_2_31
00845.jpg,1_4_57
00849.jpg,4_13_25
00852.jpg,2_9_24
00853.jpg,0_2_40
00856.jpg,0_1_60
00869.jpg,2_9_24
00872.jpg,0_2_75
00875.jpg,0_2_31
00888.jpg,1_5_72
00890.jpg,1_8_35
00891.jpg,0_1_17
00892.jpg,0_2_21
00893.jpg,4_14_27
00896.jpg,3_12_45
00902.jpg,1_5_30
00909.jpg,4_13_33
00912.jpg,2_10_55
00914.jpg,3_11_32
00916.jpg,0_2_29
00917.jpg,0_1_60
00919.jpg,5_17_43
00922.jpg,0_1_17
00950.jpg,1_4_57
00958.jpg,3_11_32
00974.jpg,3_11_63
00975.jpg,1_6_76
00977.jpg,0_3_73
00978.jpg,0_2_29
00980.jpg,1_5_72
00996.jpg,1_5_30
01001.jpg,5_19_4
01006.jpg,3_12_51
01008.jpg,1_5_72
01016.jpg,5_17_5
01021.jpg,1_4_3
01050.jpg,0_2_31
01052.jpg,4_14_10
01053.jpg,0_0_68
01055.jpg,4_14_10
01071.jpg,1_5_72
01092.jpg,0_2_40
01093.jpg,5_17_71
01098.jpg,0_0_18
01099.jpg,1_7_49
01101.jpg,4_15_56
01104.jpg,5_19_2
01112.jpg,0_0_68
01113.jpg,0_1_60
01114.jpg,4_16_26
01125.jpg,0_0_18
01127.jpg,0_1_17
01137.jpg,3_11_32
01140.jpg,0_2_31
01146.jpg,0_2_31
01147.jpg,1_4_57
01150.jpg,5_17_78
01154.jpg,1_6_58
01163.jpg,0_1_60
01166.jpg,1_5_72
01172.jpg,3_12_45
01184.jpg,1_6_76
01205.jpg,4_14_10
01216.jpg,0_0_68
01236.jpg,0_0_8
01249.jpg,4_13_25
01254.jpg,4_14_38
01255.jpg,1_5_72
01258.jpg,0_1_60
01265.jpg,1_8_47
01269.jpg,2_9_14
01279.jpg,0_2_31
01285.jpg,4_13_25
01288.jpg,0_2_21
01293.jpg,0_0_68
01300.jpg,4_13_25
01305.jpg,4_13_12
01306.jpg,4_13_48
01338.jpg,1_7_49
01350.jpg,1_7_34
01351.jpg,4_13_12
01360.jpg,3_11_32
01364.jpg,5_17_5
01366.jpg,4_13_33
01368.jpg,4_13_12
01373.jpg,1_7_67
01377.jpg,4_15_56
01379.jpg,4_14_10
01383.jpg,0_2_40
01399.jpg,3_12_45
01402.jpg,2_10_55
01403.jpg,4_14_10
01404.jpg,0_3_73
01411.jpg,5_17_71
01412.jpg,5_17_6
01416.jpg,5_19_4
01421.jpg,0_3_74
01423.jpg,5_17_6
01439.jpg,1_4_3
01444.jpg,3_11_64
01445.jpg,1_5_13
01448.jpg,0_3_39
01449.jpg,1_7_49
01454.jpg,5_17_6
01458.jpg,3_12_45
01461.jpg,0_3_39
01473.jpg,0_1_17
01491.jpg,1_5_13
01494.jpg,0_2_40
01496.jpg,1_5_13
